position_label,position_group,n_players,n_players_reg,metric_cols,mean_metric,std_metric,q1_metric,top_player_name,top_player_metric,z_ceiling,z_floor,season,league
Forward,ATT,168,92,"Goals,Assists",7.880434782608695,7.101503807835578,3.0,Jamie Vardy ,30.0,3.114771999838297,-0.6872396206031426,2015-16,EPL
Midfielder,MID,265,141,"Assists,Big chances created,Through balls",9.709219858156029,12.235594515602582,3.0,Mesut Özil ,89.0,6.480337350239416,-0.5483362373279507,2015-16,EPL
Defender,DEF,248,117,"Tackles,Interceptions,Blocked shots,Clearances,Headed Clearance",247.76068376068375,133.8353146433568,128.0,Steve Cook ,596.0,2.601998711381233,-0.8948361953630922,2015-16,EPL
Goalkeeper,GK,76,27,Saves,72.96296296296296,24.28455000609705,57.0,Heurelho Gomes ,121.0,1.9780904741894136,-0.6573299879534596,2015-16,EPL
Forward,ATT,177,86,"Goals,Assists",8.418604651162791,7.349205171829999,3.0,Alexis Sánchez ,34.0,3.480838369690974,-0.7373048546709065,2016-17,EPL
Midfielder,MID,298,139,"Assists,Big chances created,Through balls",9.589928057553957,11.051099720425816,2.0,Kevin De Bruyne ,73.0,5.737897000897098,-0.6868029652764281,2016-17,EPL
Defender,DEF,261,118,"Tackles,Interceptions,Blocked shots,Clearances,Headed Clearance",250.70338983050848,135.72188096088223,138.25,Steve Cook ,702.0,3.325157351006388,-0.8285575548641254,2016-17,EPL
Goalkeeper,GK,103,27,Saves,77.22222222222223,33.193410025723516,53.0,Tom Heaton ,141.0,1.92139878754104,-0.7297298531079215,2016-17,EPL
Forward,ATT,161,79,"Goals,Assists",9.151898734177216,7.542434565816176,4.0,Mohamed Salah ,42.0,4.355105898392139,-0.6830551447574571,2017-18,EPL
Midfielder,MID,290,136,"Assists,Big chances created,Through balls",10.264705882352942,11.746235500912904,3.0,Kevin De Bruyne ,76.0,5.596286070761836,-0.6184709885808383,2017-18,EPL
Defender,DEF,254,120,"Tackles,Interceptions,Blocked shots,Clearances,Headed Clearance",237.74166666666667,126.4699236863145,140.0,Shane Duffy ,650.0,3.2597341827758566,-0.7728451462428094,2017-18,EPL
Goalkeeper,GK,88,26,Saves,78.92307692307692,35.40743411393354,46.25,Jack Butland ,144.0,1.837945185960651,-0.9227744890505749,2017-18,EPL
Forward,ATT,174,85,"Goals,Assists",8.4,7.749307369428727,2.0,Eden Hazard ,31.0,2.916389674922142,-0.8258802619248543,2018-19,EPL
Midfielder,MID,319,135,"Assists,Big chances created,Through balls",10.496296296296297,10.107477301171151,3.5,Ryan Fraser ,48.0,3.710491014346197,-0.6921901566363783,2018-19,EPL
